loss	cls_a	cls_b
0.0742732137	{'state', ',', 'may', 'species', 'nature', 'same', 'structure', 'cannot', 'animals', 'individuals', 'breeds', 'at', 'variation', 'subject', 'case', 'facts', 'plants'}	{'most', 'many', 'any', 'an'}
0.0780204544	{'state', 'may', 'species', 'same', 'structure', 'cannot', 'facts', 'breeds', 'at', 'case', 'nature', ',', 'any', 'individuals', 'animals', 'variation', 'many', 'subject', 'most', 'plants', 'an'}	{'there', 'it', 'It'}
0.0794012021	{'certain', 'distinct', 'one', 'other', 'a'}	{'some', 'this'}
0.0878522312	{'often', 'I', 'very', 'could', 'will'}	{'domestic', 'more', 'would', 'domesticated'}
0.0897235496	{'state', 'may', 'species', 'same', 'structure', 'cannot', 'facts', 'breeds', 'at', 'case', 'it', 'nature', ',', 'any', 'there', 'individuals', 'animals', 'variation', 'many', 'It', 'subject', 'most', 'plants', 'an'}	{'on', 'less', 'even'}
0.0929061692	{'we', 'they', 'and', 'so', 'but'}	{'as', 'which'}
0.0960290923	{'state', 'may', 'species', 'same', 'even', 'structure', 'cannot', 'facts', 'breeds', 'at', 'less', 'case', 'it', 'nature', ',', 'any', 'on', 'there', 'individuals', 'animals', 'variation', 'many', 'It', 'subject', 'most', 'plants', 'an'}	{'or', 'what', 'differ'}
0.1045552636	{'are', '(', 'than'}	{';', 'slight', 'short', 'In', 'conditions', 'The', 'wild'}
0.1132370302	{'state', 'what', 'may', 'species', 'same', 'even', 'structure', 'cannot', 'facts', 'breeds', 'at', 'less', 'case', 'differ', 'it', 'nature', ',', 'any', 'on', 'there', 'individuals', 'animals', 'variation', 'or', 'many', 'It', 'subject', 'most', 'plants', 'an'}	{':', 'between', 'is'}
0.1262999826	{'their', 'several', 'all', 'our'}	{'such', 'be', 'been', 'varieties', 'me', 'only', 'manner', 'races'}
0.1303009677	{'state', 'what', 'may', 'species', 'same', 'even', 'structure', 'cannot', 'facts', 'breeds', 'at', 'less', 'case', 'differ', 'it', 'is', 'nature', ',', 'any', 'on', 'there', 'individuals', 'animals', 'variation', 'or', ':', 'between', 'many', 'It', 'subject', 'most', 'plants', 'an'}	{'have', 'believe', 'do'}
0.1431239111	{'see', 'from', 'how', 'by', 'shall', 'nearly'}	{'under', 'for', 'has', 'with'}
0.1507711817	{'we', 'they', 'and', 'as', 'so', 'which', 'but'}	{'that', 'when', 'if'}
0.1541184175	{'often', 'I', 'very', 'would', 'will', 'more', 'could', 'domestic', 'domesticated'}	{'some', 'certain', 'distinct', 'one', 'this', 'other', 'a'}
0.1945429018	{'at', 'is', 'it', 'nature', ',', 'any', 'or', 'between', 'believe', 'It', 'what', 'many', 'most', 'plants', 'state', 'may', 'species', 'same', 'even', 'structure', 'cannot', 'breeds', 'less', 'case', 'differ', 'do', 'on', 'there', 'individuals', 'animals', 'subject', 'variation', ':', 'have', 'facts', 'an'}	{'in', 'great', 'my'}
0.2312977583	{'In', 'short', 'are', 'than', 'conditions', 'wild', '(', ';', 'slight', 'The'}	{'at', 'is', 'it', 'nature', ',', 'any', 'or', 'between', 'believe', 'It', 'what', 'many', 'most', 'plants', 'state', 'may', 'species', 'same', 'even', 'structure', 'cannot', 'breeds', 'less', 'case', 'differ', 'in', 'great', 'do', 'on', 'there', 'individuals', 'animals', 'subject', 'my', 'variation', ':', 'have', 'facts', 'an'}
0.2368412199	{'as', 'and', 'that', 'when', 'which', 'we', 'they', 'if', 'so', 'but'}	{'under', 'shall', 'for', 'with', 'see', 'has', 'how', 'by', 'from', 'nearly'}
0.2822783696	{'often', 'I', 'very', 'would', 'certain', 'one', 'this', 'will', 'other', 'more', 'a', 'some', 'could', 'distinct', 'domestic', 'domesticated'}	{'such', 'several', 'be', 'been', 'all', 'only', 'varieties', 'me', 'their', 'manner', 'our', 'races'}
0.3280815688	{'as', 'under', 'and', 'for', 'when', 'with', 'they', 'see', 'if', 'how', 'by', 'so', 'shall', 'that', 'which', 'we', 'has', 'from', 'but', 'nearly'}	{'to', 'must', 'can'}
0.4166811461	{'not', 'its', 'cases', '.', 'different', ')'}	{'I', 'very', 'other', 'will', 'several', 'be', 'only', 'a', 'some', 'varieties', 'me', 'could', 'distinct', 'such', 'their', 'domesticated', 'our', 'often', 'would', 'certain', 'one', 'been', 'all', 'more', 'domestic', 'this', 'manner', 'races'}
0.4549794964	{'as', 'under', 'and', 'for', 'when', 'with', 'they', 'see', 'can', 'if', 'how', 'by', 'so', 'must', 'shall', 'that', 'which', 'we', 'to', 'has', 'from', 'but', 'nearly'}	{'much', 'of', 'long'}
0.6056849397	{'as', 'under', 'and', 'for', 'when', 'with', 'they', 'see', 'can', 'if', 'how', 'by', 'so', 'must', 'shall', 'of', 'much', 'long', 'that', 'which', 'we', 'to', 'has', 'from', 'but', 'nearly'}	{'each', 'the', 'these'}
0.6600600848	{'I', 'very', ')', 'other', 'will', 'a', 'some', 'different', 'me', 'would', 'certain', 'one', 'been', 'its', 'only', 'domestic', 'this', 'several', 'be', 'varieties', 'not', '.', 'could', 'distinct', 'such', 'domesticated', 'our', 'often', 'all', 'more', 'cases', 'their', 'manner', 'races'}	{'as', 'under', 'and', 'for', 'when', 'with', 'these', 'they', 'see', 'can', 'if', 'how', 'by', 'so', 'must', 'shall', 'of', 'the', 'much', 'long', 'that', 'which', 'we', 'to', 'has', 'each', 'from', 'but', 'nearly'}
1.2347232435	{'than', 'facts', 'at', 'is', 'it', 'The', 'nature', ',', 'any', 'wild', '(', 'or', 'between', 'believe', 'It', 'what', 'many', 'most', 'plants', 'state', 'In', 'may', 'are', 'species', 'same', 'even', 'structure', 'cannot', 'conditions', 'breeds', ';', 'less', 'case', 'differ', 'slight', 'in', 'great', 'short', 'do', 'on', 'there', 'individuals', 'animals', 'my', 'variation', ':', 'have', 'subject', 'an'}	{'as', 'I', 'very', ')', 'other', 'will', 'a', 'some', 'different', 'me', 'if', 'of', 'so', 'the', 'much', 'would', 'long', 'certain', 'one', 'that', 'been', 'we', 'to', 'its', 'has', 'only', 'domestic', 'this', 'from', 'but', 'under', 'and', 'several', 'be', 'for', 'when', 'with', 'these', 'varieties', 'not', 'they', '.', 'see', 'could', 'distinct', 'such', 'how', 'by', 'must', 'domesticated', 'our', 'shall', 'often', 'nearly', 'all', 'more', 'which', 'cases', 'their', 'each', 'manner', 'can', 'races'}
